Series,V,A,Time,Concentration
RS_S18_INC-1,0.05,0.000298,18,8.82
RS_S19_INC-1,0.05,0.000298,18,8.54
RS_S20_INC-1,0.05,0.000298,18,11.74
RS_S21_INC-1,0.05,0.000298,18,7.91
RS_S22_INC-1,0.05,0.000298,18,9.72
RS_S23_INC-1,0.05,0.000298,18,7.94
RS_S24_INC-1,0.05,0.000298,18,8.44
RS_S25_INC-1,0.05,0.000298,18,8.77
RS_S26_INC-1,0.05,0.000298,18,7.68
RS_S27_INC-1,0.05,0.000298,18,7.33
RS_S28_INC-1,0.05,0.000298,18,7.73
RS_S29_INC-1,0.05,0.000298,18,8.93
RS_R01_INC-1,0.05,0.000298,20,8.28
RS_R02_INC-1,0.05,0.000298,20,7.62
RS_R03_INC-1,0.05,0.000298,20,6.71
RS_R04_INC-1,0.05,0.000298,20,8.11
RS_R05_INC-1,0.05,0.000298,20,8.02
RS_R06_INC-1,0.05,0.000298,20,7.62
RS_R07_INC-1,0.05,0.000298,20,8.22
RS_S01_INC-1,0.05,0.000298,20,7.72
RS_S02_INC-1,0.05,0.000298,20,7.4
RS_S03_INC-1,0.05,0.000298,20,8.87
RS_S04_INC-1,0.05,0.000298,20,7.33
RS_S05_INC-1,0.05,0.000298,20,7.75
RS_S06_INC-1,0.05,0.000298,20,7.39
RS_S07_INC-1,0.05,0.000298,20,8.93
RS_S08_INC-1,0.05,0.000298,20,8.72
RS_S09_INC-1,0.05,0.000298,20,7.69
RS_S10_INC-1,0.05,0.000298,20,8.54
RS_S11_INC-1,0.05,0.000298,20,8.8
RS_S12_INC-1,0.05,0.000298,20,10.08
RS_S13_INC-1,0.05,0.000298,20,8.3
RS_S14_INC-1,0.05,0.000298,20,8.18
RS_S15_INC-1,0.05,0.000298,20,8
RS_S16_INC-1,0.05,0.000298,20,7.31
RS_S17_INC-1,0.05,0.000298,20,7.7
RS_S18_INC-1,0.05,0.000298,20,9.02
RS_S19_INC-1,0.05,0.000298,20,8.64
RS_S20_INC-1,0.05,0.000298,20,11.22
RS_S21_INC-1,0.05,0.000298,20,7.87
RS_S22_INC-1,0.05,0.000298,20,9.67
RS_S23_INC-1,0.05,0.000298,20,7.83
RS_S24_INC-1,0.05,0.000298,20,8.46
RS_S25_INC-1,0.05,0.000298,20,8.82
RS_S26_INC-1,0.05,0.000298,20,7.71
RS_S27_INC-1,0.05,0.000298,20,7.47
RS_S28_INC-1,0.05,0.000298,20,7.73
RS_S29_INC-1,0.05,0.000298,20,8.83
RS_R01_INC-1,0.05,0.000298,22,8.15
RS_R02_INC-1,0.05,0.000298,22,7.54
RS_R03_INC-1,0.05,0.000298,22,6.58
RS_R04_INC-1,0.05,0.000298,22,8.17
RS_R05_INC-1,0.05,0.000298,22,8.07
RS_R06_INC-1,0.05,0.000298,22,7.66
RS_R07_INC-1,0.05,0.000298,22,7.86
RS_S01_INC-1,0.05,0.000298,22,7.76
RS_S02_INC-1,0.05,0.000298,22,7.48
RS_S03_INC-1,0.05,0.000298,22,8.92
RS_S04_INC-1,0.05,0.000298,22,7.38
RS_S05_INC-1,0.05,0.000298,22,7.69
RS_S06_INC-1,0.05,0.000298,22,7.34
RS_S07_INC-1,0.05,0.000298,22,8.71
RS_S08_INC-1,0.05,0.000298,22,8.68
RS_S09_INC-1,0.05,0.000298,22,7.75
RS_S10_INC-1,0.05,0.000298,22,8.56
RS_S11_INC-1,0.05,0.000298,22,8.87
RS_S12_INC-1,0.05,0.000298,22,10.17
RS_S13_INC-1,0.05,0.000298,22,8.34
RS_S14_INC-1,0.05,0.000298,22,8.14
RS_S15_INC-1,0.05,0.000298,22,8.06
RS_S16_INC-1,0.05,0.000298,22,7.2
RS_S17_INC-1,0.05,0.000298,22,7.51
RS_S18_INC-1,0.05,0.000298,22,8.81
RS_S19_INC-1,0.05,0.000298,22,8.39
RS_S20_INC-1,0.05,0.000298,22,10.88
RS_S21_INC-1,0.05,0.000298,22,7.92
RS_S22_INC-1,0.05,0.000298,22,9.52
RS_S23_INC-1,0.05,0.000298,22,7.88
RS_S24_INC-1,0.05,0.000298,22,8.41
RS_S25_INC-1,0.05,0.000298,22,8.8
