"Sample_Name","linear_slope","linear_p_value","DO_mg_per_L_max","b","p_value_a","p_value_b","total_incubation_time_min","linear_AIC","non_linear_AIC","AIC_Diff"
"RS_S18_INC-1",-0.000289682539682573,0.000314504675708274,8.944,0,3.59220714999746e-96,0.361091053055713,108,-125.811605822013,-125.811776532022,0
"RS_S19_INC-1",-0.00349228130360207,0.000367110114085791,8.604,0,8.70899474177714e-90,5.21537011819877e-13,106,-109.70444724959,-109.834850364027,0.13
"RS_S20_INC-1",0.00178030303030301,0.00119755869005034,11.167,0,1.17643377987372e-70,0.144517104564428,108,21.262947673927,21.2713337205397,-0.008
"RS_S21_INC-1",-0.00208919382504289,0.000343402980532907,7.961,0,1.21451929469015e-89,1.2894382840863e-07,106,-116.914226310698,-117.038285269505,0.124
"RS_S22_INC-1",-0.000992567181246423,0.000350115876112005,9.641,0,1.29346293709205e-93,0.00656691838397403,106,-114.823395300373,-114.815065394095,-0.008
"RS_S23_INC-1",-0.00175014293882219,0.000481869188083485,7.996,0,9.61924420380564e-83,0.000603645150549114,106,-80.3272763388672,-80.3967446471954,0.069
"RS_S24_INC-1",-0.00214430014430016,0.000372119760252615,8.511,0,4.87812148156572e-91,3.92530975126132e-07,108,-107.307758319339,-107.426606743299,0.119
"RS_S25_INC-1",0.000658662092624361,0.000148090223455897,8.793,0,4.38728595341833e-111,4.66084569802827e-05,106,-207.751181879824,-207.734858727102,-0.016
"RS_S26_INC-1",-0.00130194805194804,0.000201873752114,7.717,0,6.59794431822422e-103,3.24522808181678e-08,108,-174.580813195463,-174.666330572251,0.086
"RS_S27_INC-1",0.000839146178768792,0.000298169910247964,7.436,0,1.56418425917841e-91,0.00679987392004049,106,-132.168268919406,-132.180983626662,0.013
"RS_S28_INC-1",0.000695635601295991,0.00020279499095559,7.727,0,4.38008850851391e-101,0.00117500960053816,106,-173.798804350298,-173.811428842952,0.013
"RS_S29_INC-1",0.00032359307359307,0.000318980211243296,8.835,0,1.30599164863805e-95,0.315221047730829,108,-124.257292182707,-124.256743123999,-0.001
