Series,V,A,Time,Concentration
RS_R04_INC-1,50,0.000298,24,8.17
RS_R04_INC-1,50,0.000298,26,7.98
RS_R04_INC-1,50,0.000298,28,8.16
RS_R04_INC-1,50,0.000298,30,8
RS_R04_INC-1,50,0.000298,32,8.11
RS_R04_INC-1,50,0.000298,34,7.96
RS_R04_INC-1,50,0.000298,36,8.06
RS_R04_INC-1,50,0.000298,38,7.89
RS_R04_INC-1,50,0.000298,40,7.98
RS_R04_INC-1,50,0.000298,42,7.94
RS_R04_INC-1,50,0.000298,44,8.01
RS_R04_INC-1,50,0.000298,46,7.93
RS_R04_INC-1,50,0.000298,48,7.96
RS_R04_INC-1,50,0.000298,50,8.03
RS_R04_INC-1,50,0.000298,52,7.86
RS_R04_INC-1,50,0.000298,54,8.02
RS_R04_INC-1,50,0.000298,56,7.84
RS_R04_INC-1,50,0.000298,58,8.02
RS_R04_INC-1,50,0.000298,60,7.86
RS_R04_INC-1,50,0.000298,62,7.92
RS_R04_INC-1,50,0.000298,64,7.86
RS_R04_INC-1,50,0.000298,66,7.9
RS_R04_INC-1,50,0.000298,68,7.95
RS_R04_INC-1,50,0.000298,70,7.77
RS_R04_INC-1,50,0.000298,72,7.9
RS_R04_INC-1,50,0.000298,74,7.82
RS_R04_INC-1,50,0.000298,76,7.81
RS_R04_INC-1,50,0.000298,78,7.92
RS_R04_INC-1,50,0.000298,80,7.78
RS_R04_INC-1,50,0.000298,82,7.86
RS_R04_INC-1,50,0.000298,84,7.87
RS_R04_INC-1,50,0.000298,86,7.75
RS_R04_INC-1,50,0.000298,88,7.86
RS_R04_INC-1,50,0.000298,90,7.75
RS_R04_INC-1,50,0.000298,92,7.93
RS_R04_INC-1,50,0.000298,94,7.81
RS_R04_INC-1,50,0.000298,96,7.79
RS_R04_INC-1,50,0.000298,98,7.87
RS_R04_INC-1,50,0.000298,100,7.71
RS_R04_INC-1,50,0.000298,102,7.86
RS_R04_INC-1,50,0.000298,104,7.8
RS_R04_INC-1,50,0.000298,106,7.73
RS_R04_INC-1,50,0.000298,108,7.9
RS_R04_INC-1,50,0.000298,110,7.8
RS_R05_INC-1,50,0.000298,0,8.95
RS_R05_INC-1,50,0.000298,2,8.66
RS_R05_INC-1,50,0.000298,4,8
RS_R05_INC-1,50,0.000298,6,8.11
RS_R05_INC-1,50,0.000298,8,7.91
RS_R05_INC-1,50,0.000298,10,8.08
RS_R05_INC-1,50,0.000298,12,8.16
RS_R05_INC-1,50,0.000298,14,8.08
RS_R05_INC-1,50,0.000298,16,8.02
RS_R05_INC-1,50,0.000298,18,7.73
RS_R05_INC-1,50,0.000298,20,8.07
RS_R05_INC-1,50,0.000298,22,8.02
RS_R05_INC-1,50,0.000298,24,8.07
RS_R05_INC-1,50,0.000298,26,8.12
RS_R05_INC-1,50,0.000298,28,8
RS_R05_INC-1,50,0.000298,30,8.16
RS_R05_INC-1,50,0.000298,32,7.94
RS_R05_INC-1,50,0.000298,34,8
RS_R05_INC-1,50,0.000298,36,7.79
RS_R05_INC-1,50,0.000298,38,7.92
RS_R05_INC-1,50,0.000298,40,7.89
RS_R05_INC-1,50,0.000298,42,7.91
RS_R05_INC-1,50,0.000298,44,7.75
RS_R05_INC-1,50,0.000298,46,7.98
RS_R05_INC-1,50,0.000298,48,7.94
RS_R05_INC-1,50,0.000298,50,8.05
RS_R05_INC-1,50,0.000298,52,7.98
RS_R05_INC-1,50,0.000298,54,7.72
RS_R05_INC-1,50,0.000298,56,7.91
RS_R05_INC-1,50,0.000298,58,7.71
RS_R05_INC-1,50,0.000298,60,7.92
RS_R05_INC-1,50,0.000298,62,7.9
RS_R05_INC-1,50,0.000298,64,7.84
RS_R05_INC-1,50,0.000298,66,7.88
RS_R05_INC-1,50,0.000298,68,7.85
RS_R05_INC-1,50,0.000298,70,7.91
RS_R05_INC-1,50,0.000298,72,8.06
RS_R05_INC-1,50,0.000298,74,7.76
RS_R05_INC-1,50,0.000298,76,7.87
RS_R05_INC-1,50,0.000298,78,7.91
RS_R05_INC-1,50,0.000298,80,8
RS_R05_INC-1,50,0.000298,82,7.84
RS_R05_INC-1,50,0.000298,84,7.87
RS_R05_INC-1,50,0.000298,86,8.01
RS_R05_INC-1,50,0.000298,88,7.92
RS_R05_INC-1,50,0.000298,90,7.83
RS_R05_INC-1,50,0.000298,92,7.92
RS_R05_INC-1,50,0.000298,94,7.8
RS_R05_INC-1,50,0.000298,96,8.05
RS_R05_INC-1,50,0.000298,98,8
RS_R05_INC-1,50,0.000298,100,7.78
RS_R05_INC-1,50,0.000298,102,8.02
RS_R05_INC-1,50,0.000298,104,8.02
RS_R05_INC-1,50,0.000298,106,7.91
RS_R05_INC-1,50,0.000298,108,8.01
RS_R05_INC-1,50,0.000298,110,7.92
RS_R06_INC-1,50,0.000298,0,8.95
RS_R06_INC-1,50,0.000298,2,8.4
RS_R06_INC-1,50,0.000298,4,7.78
RS_R06_INC-1,50,0.000298,6,7.83
RS_R06_INC-1,50,0.000298,8,8.12
RS_R06_INC-1,50,0.000298,10,7.88
RS_R06_INC-1,50,0.000298,12,7.91
RS_R06_INC-1,50,0.000298,14,7.67
RS_R06_INC-1,50,0.000298,16,8.03
RS_R06_INC-1,50,0.000298,18,7.9
RS_R06_INC-1,50,0.000298,20,7.72
RS_R06_INC-1,50,0.000298,22,7.62
RS_R06_INC-1,50,0.000298,24,7.66
RS_R06_INC-1,50,0.000298,26,7.64
RS_R06_INC-1,50,0.000298,28,7.62
RS_R06_INC-1,50,0.000298,30,7.67
RS_R06_INC-1,50,0.000298,32,7.68
RS_R06_INC-1,50,0.000298,34,7.6
RS_R06_INC-1,50,0.000298,36,7.52
RS_R06_INC-1,50,0.000298,38,7.68
RS_R06_INC-1,50,0.000298,40,7.52
RS_R06_INC-1,50,0.000298,42,7.64
RS_R06_INC-1,50,0.000298,44,7.52
RS_R06_INC-1,50,0.000298,46,7.52
RS_R06_INC-1,50,0.000298,48,7.53
RS_R06_INC-1,50,0.000298,50,7.47
RS_R06_INC-1,50,0.000298,52,7.53
RS_R06_INC-1,50,0.000298,54,7.46
RS_R06_INC-1,50,0.000298,56,7.47
RS_R06_INC-1,50,0.000298,58,7.51
RS_R06_INC-1,50,0.000298,60,7.47
RS_R06_INC-1,50,0.000298,62,7.47
RS_R06_INC-1,50,0.000298,64,7.38
RS_R06_INC-1,50,0.000298,66,7.43
RS_R06_INC-1,50,0.000298,68,7.38
RS_R06_INC-1,50,0.000298,70,7.54
RS_R06_INC-1,50,0.000298,72,7.36
RS_R06_INC-1,50,0.000298,74,7.46
RS_R06_INC-1,50,0.000298,76,7.46
RS_R06_INC-1,50,0.000298,78,7.42
RS_R06_INC-1,50,0.000298,80,7.39
RS_R06_INC-1,50,0.000298,82,7.51
RS_R06_INC-1,50,0.000298,84,7.37
RS_R06_INC-1,50,0.000298,86,7.33
RS_R06_INC-1,50,0.000298,88,7.27
RS_R06_INC-1,50,0.000298,90,7.39
RS_R06_INC-1,50,0.000298,92,7.34
RS_R06_INC-1,50,0.000298,94,7.3
RS_R06_INC-1,50,0.000298,96,7.42
RS_R06_INC-1,50,0.000298,98,7.33
RS_R06_INC-1,50,0.000298,100,7.29
RS_R06_INC-1,50,0.000298,102,7.36
RS_R06_INC-1,50,0.000298,104,7.4
RS_R06_INC-1,50,0.000298,106,7.32
RS_R06_INC-1,50,0.000298,108,7.26
RS_R06_INC-1,50,0.000298,110,7.37
RS_R07_INC-1,50,0.000298,0,8.95
RS_R07_INC-1,50,0.000298,2,8.07
RS_R07_INC-1,50,0.000298,4,8.95
RS_R07_INC-1,50,0.000298,6,7.77
RS_R07_INC-1,50,0.000298,8,7.77
RS_R07_INC-1,50,0.000298,10,7.99
RS_R07_INC-1,50,0.000298,12,7.95
RS_R07_INC-1,50,0.000298,14,8.47
RS_R07_INC-1,50,0.000298,16,8.3
RS_R07_INC-1,50,0.000298,18,8.05
RS_R07_INC-1,50,0.000298,20,8.56
RS_R07_INC-1,50,0.000298,22,8.22
RS_R07_INC-1,50,0.000298,24,7.86
RS_R07_INC-1,50,0.000298,26,8.42
RS_R07_INC-1,50,0.000298,28,8.11
RS_R07_INC-1,50,0.000298,30,7.86
RS_R07_INC-1,50,0.000298,32,8.45
RS_R07_INC-1,50,0.000298,34,7.98
RS_R07_INC-1,50,0.000298,36,7.9
RS_R07_INC-1,50,0.000298,38,8.23
RS_R07_INC-1,50,0.000298,40,8.17
RS_R07_INC-1,50,0.000298,42,7.83
RS_R07_INC-1,50,0.000298,44,8.29
RS_R07_INC-1,50,0.000298,46,8.03
RS_R07_INC-1,50,0.000298,48,8.01
RS_R07_INC-1,50,0.000298,50,8.1
RS_R07_INC-1,50,0.000298,52,7.79
RS_R07_INC-1,50,0.000298,54,8.05
RS_R07_INC-1,50,0.000298,56,7.68
RS_R07_INC-1,50,0.000298,58,7.92
RS_R07_INC-1,50,0.000298,60,7.58
RS_R07_INC-1,50,0.000298,62,7.98
RS_R07_INC-1,50,0.000298,64,7.83
RS_R07_INC-1,50,0.000298,66,8.21
RS_R07_INC-1,50,0.000298,68,7.85
RS_R07_INC-1,50,0.000298,70,7.72
RS_R07_INC-1,50,0.000298,72,7.54
RS_R07_INC-1,50,0.000298,74,8.04
RS_R07_INC-1,50,0.000298,76,8.11
RS_R07_INC-1,50,0.000298,78,7.49
RS_R07_INC-1,50,0.000298,80,7.9
RS_R07_INC-1,50,0.000298,82,7.92
RS_R07_INC-1,50,0.000298,84,7.87
RS_R07_INC-1,50,0.000298,86,7.49
RS_R07_INC-1,50,0.000298,88,8.13
RS_R07_INC-1,50,0.000298,90,7.58
RS_R07_INC-1,50,0.000298,92,7.88
RS_R07_INC-1,50,0.000298,94,7.43
RS_R07_INC-1,50,0.000298,96,7.71
RS_R07_INC-1,50,0.000298,98,7.85
RS_R07_INC-1,50,0.000298,100,7.29
RS_R07_INC-1,50,0.000298,102,7.9
RS_R07_INC-1,50,0.000298,104,7.95
RS_R07_INC-1,50,0.000298,106,7.68
RS_R07_INC-1,50,0.000298,108,7.44
RS_R07_INC-1,50,0.000298,110,7.99
RS_S01_INC-1,50,0.000298,0,9.09
RS_S01_INC-1,50,0.000298,2,7.86
RS_S01_INC-1,50,0.000298,4,7.8
RS_S01_INC-1,50,0.000298,6,7.88
RS_S01_INC-1,50,0.000298,8,7.73
RS_S01_INC-1,50,0.000298,10,7.69
RS_S01_INC-1,50,0.000298,12,7.69
RS_S01_INC-1,50,0.000298,14,7.72
